agent_id,Neighbors
531459,"['8207453', '627085', '111439']"
586245,"['8207453', '111439', '706877']"
588294,"['8207453', '111439', '706877']"
8205830,"['8207453', '627085', '111439']"
8235016,"['8207453', '111439', '670545']"
555529,"['8207453', '111439', '670545']"
8090634,"['627085', '612538', '8207453']"
683531,"['8207453', '111439', '670545']"
512005,"['8207453', '627085', '111439']"
8085006,"['8207453', '111439', '706877']"
615950,"['8207453', '627085', '612538']"
626195,"['8207453', '111439', '670545']"
8210964,"['8207453', '111439', '706877']"
73238,"['627085', '8207453', '612538']"
353817,"['8207453', '111439', '670545']"
545305,"['8207453', '627085', '612538']"
550940,"['8207453', '111439', '670545']"
613917,"['8207453', '111439', '706877']"
8173085,"['8207453', '627085', '612538']"
8145440,"['8207453', '111439', '670545']"
591905,"['8207453', '627085', '612538']"
506402,"['8207453', '111439', '670545']"
547363,"['8207453', '111439', '706877']"
582180,"['8207453', '111439', '706877']"
512549,"['8207453', '111439', '706877', '670545']"
561189,"['8207453', '627085', '111439']"
665639,"['8207453', '111439', '670545']"
563240,"['8207453', '111439', '706877']"
186921,"['8207453', '627085', '612538']"
8091691,"['8207453', '111439', '670545']"
8179244,"['8207453', '111439', '706877']"
8228907,"['8207453', '111439', '670545']"
623151,"['8207453', '111439', '670545']"
8095283,"['8207453', '111439', '670545']"
71732,"['8207453', '111439', '706877']"
329784,"['627085', '612538', '96761']"
8099900,"['8207453', '111439', '670545']"
8099901,"['8207453', '111439', '706877']"
8238654,"['8207453', '111439', '706877']"
516672,"['8207453', '111439', '706877']"
84545,"['8207453', '111439', '706877']"
211525,"['8207453', '111439', '670545']"
520261,"['8207453', '111439', '670545']"
703047,"['8207453', '111439', '706877']"
559688,"['627085', '612538', '96761']"
621128,"['8207453', '111439', '627085']"
176202,"['8207453', '111439', '670545']"
634956,"['8207453', '111439', '670545']"
609356,"['8207453', '627085', '111439']"
526412,"['8207453', '111439', '670545']"
624721,"['8207453', '111439', '670545']"
8158290,"['627085', '612538', '96761']"
8095315,"['8207453', '111439', '706877']"
504913,"['8207453', '111439', '670545']"
8087126,"['8207453', '111439', '706877']"
8228440,"['627085', '612538', '96761']"
549980,"['8207453', '111439', '627085']"
130652,"['8207453', '111439', '670545']"
217182,"['627085', '612538', '96761']"
509023,"['8207453', '111439', '706877']"
8207453,"['627085', '612538', '96761']"
336990,"['627085', '612538', '96761']"
216680,"['8207453', '111439', '670545']"
229481,"['8207453', '627085', '612538']"
8111213,"['8207453', '111439', '706877']"
525935,"['8207453', '627085', '111439']"
693359,"['8207453', '111439', '670545']"
658033,"['8207453', '111439', '670545']"
652914,"['8207453', '627085', '612538']"
