agent_id,Neighbors
531459,"[126884, 8207453, 111439]"
512005,"[126884, 8207453, 111439]"
8205830,"[126884, 8207453, 111439]"
588294,"[126884, 8207453, 111439]"
8235016,"[126884, 8207453, 111439]"
555529,"[126884, 8207453, 111439]"
8090634,"[8219372, 8104680, 540449]"
683531,"[126884, 8207453, 111439]"
586245,"[126884, 8207453, 111439]"
615950,"[8219372, 126884, 8207453]"
8085006,"[126884, 8207453, 111439]"
626195,"[126884, 8207453, 111439]"
8210964,"[126884, 8207453, 111439]"
73238,"[8219372, 8104680, 540449]"
353817,"[126884, 8207453, 111439]"
545305,"[8219372, 8104680, 540449]"
550940,"[126884, 8207453, 111439]"
8173085,"[126884, 8219372, 8207453]"
613917,"[126884, 8207453, 111439]"
8145440,"[126884, 8207453, 111439]"
591905,"[8219372, 8104680, 540449]"
506402,"[8219372, 8104680, 540449]"
547363,"[8219372, 126884, 8104680]"
582180,"[126884, 8207453, 111439]"
512549,"[8219372, 126884, 8104680]"
561189,"[126884, 8207453, 111439]"
665639,"[126884, 8207453, 111439]"
563240,"[126884, 8207453, 111439]"
186921,"[8219372, 8104680, 540449]"
8228907,"[126884, 8207453, 111439]"
8179244,"[126884, 8207453, 111439]"
8091691,"[126884, 8207453, 111439]"
623151,"[126884, 8207453, 111439]"
8095283,"[126884, 8207453, 111439]"
71732,"[126884, 8207453, 111439]"
329784,"[8219372, 8104680, 540449]"
8099900,"[126884, 8207453, 111439]"
8099901,"[126884, 8207453, 111439]"
8238654,"[126884, 8207453, 111439]"
516672,"[126884, 8207453, 111439]"
84545,"[126884, 8207453, 111439]"
520261,"[126884, 8207453, 111439]"
211525,"[126884, 8207453, 111439]"
703047,"[126884, 8207453, 111439]"
559688,"[8219372, 8104680, 540449]"
621128,"[126884, 8207453, 111439]"
176202,"[126884, 8207453, 111439]"
609356,"[126884, 8207453, 8219372]"
634956,"[126884, 8207453, 111439]"
526412,"[126884, 8207453, 111439]"
504913,"[126884, 8207453, 111439]"
8158290,"[8219372, 8104680, 540449]"
624721,"[126884, 8207453, 111439]"
8095315,"[126884, 8207453, 111439]"
8087126,"[126884, 8207453, 111439]"
8228440,"[8219372, 8104680, 540449]"
130652,"[8219372, 8104680, 540449]"
8207453,"[8219372, 8104680, 540449]"
217182,"[8219372, 8104680, 540449]"
336990,"[8219372, 8104680, 540449]"
509023,"[126884, 8207453, 111439]"
549980,"[126884, 8207453, 111439]"
216680,"[126884, 8207453, 111439]"
229481,"[8219372, 8104680, 540449]"
8111213,"[126884, 8207453, 111439]"
693359,"[126884, 8207453, 111439]"
525935,"[126884, 8207453, 111439]"
658033,"[8219372, 8104680, 540449]"
652914,"[8219372, 126884, 8104680]"
8092788,"[126884, 8207453, 111439]"
597108,"[126884, 8207453, 111439]"
628862,"[126884, 8207453, 111439]"
8195714,"[126884, 8207453, 111439]"
565385,"[8219372, 8104680, 126884]"
511631,"[8219372, 8104680, 540449]"
705172,"[126884, 8207453, 111439]"
8180897,"[126884, 8207453, 111439]"
8173217,"[126884, 8207453, 111439]"
558757,"[126884, 8207453, 111439]"
533158,"[126884, 8207453, 111439]"
8185002,"[126884, 8207453, 111439]"
547498,"[126884, 8207453, 111439]"
703661,"[126884, 8207453, 111439]"
8090286,"[8219372, 8104680, 540449]"
8092848,"[126884, 8219372, 8207453]"
548017,"[8219372, 8104680, 540449]"
539826,"[8219372, 8104680, 540449]"
541875,"[126884, 8207453, 111439]"
688306,"[8219372, 8104680, 540449]"
8093361,"[126884, 8207453, 111439]"
705207,"[8219372, 8104680, 540449]"
612538,"[126884, 8207453, 111439]"
8084154,"[8219372, 8104680, 540449]"
550081,"[126884, 8207453, 111439]"
692929,"[8219372, 8104680, 540449]"
8116934,"[126884, 8207453, 111439]"
165063,"[126884, 8207453, 8219372]"
518342,"[126884, 8207453, 111439]"
514763,"[126884, 8219372, 8207453]"
631499,"[126884, 8207453, 111439]"
537293,"[126884, 8207453, 8219372]"
645838,"[126884, 8207453, 111439]"
653012,"[126884, 8207453, 111439]"
669908,"[126884, 8207453, 111439]"
8227542,"[126884, 8207453, 111439]"
583383,"[126884, 8207453, 111439]"
8090330,"[126884, 8207453, 111439]"
666332,"[126884, 8207453, 111439]"
533212,"[126884, 8207453, 111439]"
519900,"[8219372, 8104680, 540449]"
625376,"[126884, 8207453, 111439]"
244960,"[126884, 8207453, 8219372]"
8144610,"[126884, 8207453, 111439]"
146148,"[126884, 8207453, 111439]"
590564,"[126884, 8207453, 111439]"
272103,"[126884, 8207453, 111439]"
8104680,"[126884, 8207453, 111439]"
8130795,"[126884, 8207453, 111439]"
8219372,"[126884, 8207453, 111439]"
500973,"[8219372, 8104680, 540449]"
669936,"[126884, 8207453, 111439]"
505587,"[126884, 8207453, 111439]"
705271,"[126884, 8207453, 111439]"
580861,"[126884, 8207453, 111439]"
8222973,"[126884, 8207453, 111439]"
555264,"[8219372, 8104680, 540449]"
540419,"[126884, 8219372, 8207453]"
8115973,"[126884, 8207453, 111439]"
508678,"[126884, 8207453, 111439]"
570120,"[126884, 8207453, 111439]"
687369,"[8219372, 8104680, 126884]"
568074,"[126884, 8207453, 111439]"
705291,"[126884, 8207453, 111439]"
508686,"[126884, 8207453, 111439]"
617233,"[126884, 8207453, 111439]"
8214297,"[126884, 8219372, 8207453]"
8104729,"[126884, 8207453, 111439]"
333085,"[126884, 8207453, 111439]"
690975,"[126884, 8207453, 111439]"
540449,"[126884, 8207453, 111439]"
679717,"[126884, 8207453, 111439]"
631590,"[126884, 8207453, 111439]"
317223,"[126884, 8207453, 111439]"
311591,"[8219372, 126884, 8104680]"
579881,"[8219372, 8104680, 540449]"
506149,"[8219372, 126884, 8207453]"
610604,"[8219372, 8104680, 540449]"
686382,"[126884, 8207453, 111439]"
525103,"[126884, 8207453, 111439]"
8174894,"[126884, 8207453, 111439]"
676148,"[8219372, 8104680, 126884]"
8123701,"[126884, 8207453, 111439]"
686906,"[8219372, 8104680, 540449]"
705339,"[126884, 8207453, 111439]"
8098106,"[126884, 8207453, 111439]"
680253,"[126884, 8207453, 111439]"
706877,"[8219372, 8104680, 540449]"
617465,"[126884, 8207453, 111439]"
556356,"[126884, 8207453, 111439]"
673606,"[126884, 8207453, 111439]"
673609,"[126884, 8207453, 111439]"
702795,"[126884, 8207453, 111439]"
613195,"[126884, 8207453, 111439]"
538955,"[126884, 8207453, 111439]"
572749,"[8219372, 8104680, 540449]"
111439,"[8219372, 8104680, 540449]"
8123728,"[126884, 8207453, 111439]"
670545,"[8219372, 8104680, 540449]"
528213,"[126884, 8207453, 111439]"
323928,"[126884, 8207453, 111439]"
8087899,"[126884, 8207453, 111439]"
645981,"[8219372, 8104680, 540449]"
526686,"[126884, 8207453, 111439]"
697183,"[126884, 8207453, 111439]"
705888,"[126884, 8207453, 111439]"
641889,"[126884, 8207453, 111439]"
8095076,"[126884, 8207453, 111439]"
681317,"[126884, 8207453, 111439]"
556902,"[126884, 8207453, 111439]"
538469,"[8219372, 8104680, 540449]"
691044,"[8219372, 126884, 8207453]"
545642,"[126884, 8207453, 111439]"
346986,"[126884, 8219372, 8207453]"
520556,"[8219372, 8104680, 540449]"
540528,"[126884, 8207453, 111439]"
508788,"[126884, 8207453, 111439]"
8229749,"[126884, 8207453, 111439]"
8238964,"[8219372, 126884, 8207453]"
568697,"[126884, 8207453, 111439]"
670076,"[126884, 8207453, 111439]"
625020,"[126884, 8207453, 111439]"
629119,"[8219372, 8104680, 540449]"
544640,"[8219372, 8104680, 540449]"
515456,"[8219372, 8104680, 540449]"
536455,"[126884, 8207453, 111439]"
567178,"[126884, 8207453, 111439]"
8168330,"[126884, 8207453, 111439]"
627085,"[126884, 8207453, 111439]"
643981,"[8219372, 8104680, 540449]"
513935,"[126884, 8207453, 111439]"
8216465,"[126884, 8207453, 111439]"
541586,"[8219372, 8104680, 540449]"
128925,"[8219372, 8104680, 540449]"
308128,"[126884, 8207453, 111439]"
646564,"[126884, 8207453, 111439]"
126884,"[8219372, 8104680, 540449]"
670629,"[8219372, 8104680, 540449]"
345511,"[126884, 8207453, 111439]"
8120228,"[126884, 8207453, 111439]"
8095660,"[126884, 8207453, 111439]"
646061,"[126884, 8207453, 111439]"
96761,"[126884, 8207453, 111439]"
8095151,"[126884, 8207453, 111439]"
525234,"[126884, 8207453, 111439]"
538547,"[126884, 8207453, 111439]"
8204212,"[126884, 8207453, 111439]"
145330,"[126884, 8207453, 111439]"
583608,"[126884, 8207453, 111439]"
641977,"[126884, 8207453, 111439]"
8229818,"[126884, 8207453, 111439]"
8141754,"[126884, 8207453, 111439]"
8084922,"[8219372, 8104680, 540449]"
8218045,"[126884, 8207453, 111439]"
8144830,"[126884, 8207453, 111439]"
506307,"[126884, 8207453, 111439]"
564677,"[126884, 8207453, 111439]"
552902,"[126884, 8207453, 111439]"
8179143,"[126884, 8207453, 111439]"
8099783,"[8219372, 8104680, 540449]"
8098250,"[8219372, 8104680, 540449]"
145355,"[126884, 8207453, 111439]"
534990,"[126884, 8207453, 111439]"
8177615,"[126884, 8207453, 111439]"
8190417,"[126884, 8207453, 111439]"
707032,"[126884, 8207453, 111439]"
673755,"[126884, 8207453, 111439]"
8175069,"[8219372, 126884, 8104680]"
665566,"[126884, 8207453, 111439]"
8196061,"[126884, 8207453, 111439]"
602591,"[126884, 8207453, 111439]"
514022,"[126884, 8207453, 111439]"
322022,"[126884, 8207453, 111439]"
676329,"[126884, 8207453, 111439]"
632814,"[126884, 8207453, 111439]"
560622,"[126884, 8207453, 111439]"
573939,"[8219372, 8104680, 540449]"
524277,"[126884, 8207453, 111439]"
