agent_id,Neighbors
531459,"[8207453, 111439, 706877]"
586245,"[8207453, 111439, 706877]"
588294,"[8207453, 111439, 706877]"
8205830,"[8207453, 111439, 706877]"
8235016,"[8207453, 111439, 706877]"
555529,"[8207453, 111439, 706877]"
8090634,"[8219372, 627085, 540449]"
512005,"[8207453, 111439, 706877]"
683531,"[8207453, 111439, 706877]"
8095225,"[8207453, 111439, 706877]"
8085006,"[8207453, 111439, 706877]"
615950,"[8207453, 8219372, 111439]"
626195,"[8207453, 111439, 706877]"
8210964,"[8207453, 111439, 706877]"
73238,"[8219372, 627085, 540449]"
545305,"[8219372, 8207453, 627085]"
353817,"[8207453, 111439, 706877]"
550940,"[8207453, 111439, 706877]"
613917,"[8207453, 111439, 706877]"
8173085,"[8207453, 8219372, 111439]"
8145440,"[8207453, 111439, 706877]"
591905,"[8219372, 627085, 540449]"
506402,"[8207453, 111439, 706877]"
547363,"[8207453, 8219372, 111439]"
582180,"[8207453, 111439, 706877]"
512549,"[8207453, 111439, 706877]"
561189,"[8207453, 111439, 706877]"
665639,"[8207453, 111439, 706877]"
563240,"[8207453, 111439, 706877]"
186921,"[8207453, 8219372, 627085]"
8091691,"[8207453, 111439, 706877]"
8228907,"[8207453, 111439, 706877]"
8179244,"[8207453, 111439, 706877]"
623151,"[8207453, 111439, 706877]"
8095283,"[8207453, 111439, 706877]"
71732,"[8207453, 111439, 706877]"
329784,"[8219372, 627085, 540449]"
8099900,"[8207453, 111439, 706877]"
8099901,"[8207453, 111439, 706877]"
8238654,"[8207453, 111439, 706877]"
516672,"[8207453, 111439, 706877]"
84545,"[8207453, 111439, 706877]"
520261,"[8207453, 111439, 706877]"
211525,"[8207453, 111439, 706877]"
703047,"[8207453, 111439, 706877]"
621128,"[8207453, 111439, 706877]"
559688,"[8219372, 627085, 8207453]"
176202,"[8207453, 111439, 706877]"
609356,"[8207453, 111439, 706877]"
526412,"[8207453, 111439, 706877]"
634956,"[8207453, 111439, 706877]"
624721,"[8207453, 111439, 706877]"
8158290,"[8219372, 627085, 540449]"
8095315,"[8207453, 111439, 706877]"
504913,"[8207453, 111439, 706877]"
8087126,"[8207453, 111439, 706877]"
8228440,"[8219372, 627085, 540449]"
130652,"[8207453, 111439, 706877]"
8207453,"[8219372, 627085, 540449]"
217182,"[8219372, 627085, 540449]"
509023,"[8207453, 111439, 706877]"
549980,"[8207453, 111439, 706877]"
336990,"[8219372, 627085, 540449]"
216680,"[8207453, 111439, 706877]"
229481,"[8207453, 8219372, 111439]"
8111213,"[8207453, 111439, 706877]"
693359,"[8207453, 111439, 706877]"
525935,"[8207453, 111439, 706877]"
658033,"[8207453, 111439, 706877]"
652914,"[8207453, 8219372, 627085]"
597108,"[8207453, 111439, 706877]"
8092788,"[8207453, 111439, 706877]"
628862,"[8207453, 111439, 706877]"
8195714,"[8207453, 111439, 8219372]"
565385,"[8219372, 8207453, 627085]"
511631,"[8207453, 111439, 706877]"
705172,"[8207453, 111439, 706877]"
8173217,"[8207453, 111439, 706877]"
8180897,"[8207453, 111439, 706877]"
558757,"[8207453, 111439, 706877]"
533158,"[8207453, 111439, 706877]"
8185002,"[8207453, 111439, 706877]"
547498,"[8207453, 111439, 706877]"
703661,"[8207453, 8219372, 111439]"
8090286,"[8219372, 627085, 540449]"
8092848,"[8207453, 111439, 8219372]"
8093361,"[8207453, 111439, 706877]"
539826,"[8219372, 627085, 540449]"
541875,"[8207453, 111439, 706877]"
548017,"[8219372, 627085, 540449]"
688306,"[8207453, 8219372, 627085]"
705207,"[8219372, 627085, 540449]"
8084154,"[8219372, 8207453, 627085]"
612538,"[8207453, 111439, 706877]"
550081,"[8207453, 111439, 706877]"
692929,"[8207453, 8219372, 627085]"
518342,"[8207453, 111439, 706877]"
165063,"[8207453, 111439, 706877]"
8116934,"[8207453, 111439, 706877]"
631499,"[8207453, 111439, 706877]"
514763,"[8207453, 8219372, 111439]"
537293,"[8207453, 8219372, 111439]"
645838,"[8207453, 111439, 706877]"
669908,"[8207453, 111439, 706877]"
653012,"[8207453, 111439, 706877]"
8227542,"[8207453, 111439, 706877]"
583383,"[8207453, 111439, 706877]"
8090330,"[8207453, 111439, 706877]"
519900,"[8219372, 627085, 540449]"
666332,"[8207453, 111439, 706877]"
533212,"[8207453, 111439, 706877]"
244960,"[8207453, 111439, 706877]"
625376,"[8207453, 111439, 706877]"
8144610,"[8207453, 111439, 706877]"
590564,"[8207453, 111439, 706877]"
146148,"[8207453, 111439, 706877]"
272103,"[8207453, 111439, 706877]"
8104680,"[8207453, 111439, 706877]"
8130795,"[8207453, 111439, 706877]"
8219372,"[8207453, 111439, 706877]"
500973,"[8207453, 8219372, 627085]"
669936,"[8207453, 111439, 706877]"
505587,"[8207453, 111439, 706877]"
705271,"[8207453, 111439, 706877]"
580861,"[8207453, 111439, 706877]"
8222973,"[8207453, 8219372, 627085]"
555264,"[8219372, 627085, 540449]"
540419,"[8207453, 111439, 706877]"
8115973,"[8207453, 111439, 8219372]"
508678,"[8207453, 111439, 706877]"
570120,"[8207453, 111439, 706877]"
687369,"[8219372, 8207453, 627085]"
568074,"[8207453, 111439, 706877]"
705291,"[8207453, 111439, 706877]"
508686,"[8207453, 111439, 706877]"
617233,"[8207453, 111439, 706877]"
8104729,"[8207453, 111439, 706877]"
8214297,"[8207453, 8219372, 627085]"
333085,"[8207453, 111439, 706877]"
690975,"[8207453, 111439, 706877]"
540449,"[8207453, 111439, 706877]"
506149,"[8207453, 8219372, 111439]"
679717,"[8207453, 111439, 706877]"
311591,"[8207453, 8219372, 111439]"
317223,"[8207453, 111439, 706877]"
631590,"[8207453, 111439, 706877]"
579881,"[8207453, 111439, 706877]"
610604,"[8219372, 627085, 540449]"
8174894,"[8207453, 111439, 706877]"
686382,"[8207453, 111439, 706877]"
525103,"[8207453, 111439, 706877]"
676148,"[8207453, 111439, 8219372]"
8123701,"[8207453, 111439, 706877]"
686906,"[8219372, 627085, 540449]"
705339,"[8207453, 111439, 706877]"
8098106,"[8207453, 111439, 706877]"
706877,"[8219372, 627085, 540449]"
680253,"[8207453, 111439, 706877]"
556356,"[8207453, 111439, 706877]"
673606,"[8207453, 111439, 706877]"
673609,"[8207453, 111439, 8219372]"
702795,"[8207453, 111439, 706877]"
613195,"[8207453, 111439, 706877]"
572749,"[8207453, 8219372, 627085]"
538955,"[8207453, 111439, 706877]"
111439,"[8219372, 627085, 540449]"
8123728,"[8207453, 111439, 706877]"
670545,"[8219372, 627085, 540449]"
528213,"[8207453, 111439, 706877]"
323928,"[8207453, 111439, 706877]"
8087899,"[8207453, 111439, 706877]"
645981,"[8219372, 627085, 540449]"
526686,"[8207453, 111439, 706877]"
697183,"[8207453, 111439, 706877]"
705888,"[8207453, 111439, 706877]"
641889,"[8207453, 111439, 706877]"
691044,"[8207453, 8219372, 627085]"
538469,"[8207453, 8219372, 111439]"
556902,"[8207453, 111439, 706877]"
681317,"[8207453, 111439, 8219372]"
8095076,"[8207453, 111439, 706877]"
346986,"[8207453, 111439, 8219372]"
545642,"[8207453, 111439, 706877]"
520556,"[8219372, 627085, 540449]"
540528,"[8207453, 111439, 706877]"
508788,"[8207453, 111439, 706877]"
8238964,"[8219372, 627085, 540449]"
8229749,"[8207453, 111439, 706877]"
568697,"[8207453, 111439, 706877]"
625020,"[8207453, 111439, 706877]"
670076,"[8207453, 111439, 706877]"
629119,"[8207453, 8219372, 111439]"
544640,"[8207453, 111439, 8219372]"
515456,"[8207453, 8219372, 627085]"
536455,"[8207453, 111439, 706877]"
567178,"[8207453, 111439, 706877]"
8168330,"[8207453, 111439, 8219372]"
643981,"[8219372, 627085, 540449]"
627085,"[8207453, 111439, 706877]"
513935,"[8207453, 111439, 706877]"
8216465,"[8207453, 111439, 706877]"
541586,"[8219372, 8207453, 627085]"
128925,"[8207453, 111439, 706877]"
308128,"[8207453, 111439, 706877]"
126884,"[8219372, 8207453, 627085]"
670629,"[8219372, 627085, 540449]"
8120228,"[8207453, 111439, 706877]"
345511,"[8207453, 111439, 706877]"
646564,"[8207453, 111439, 706877]"
8095660,"[8207453, 111439, 706877]"
96761,"[8207453, 111439, 706877]"
646061,"[8207453, 111439, 706877]"
8095151,"[8207453, 111439, 706877]"
145330,"[8207453, 111439, 706877]"
538547,"[8207453, 111439, 706877]"
8204212,"[8207453, 111439, 706877]"
525234,"[8207453, 111439, 706877]"
583608,"[8207453, 111439, 706877]"
641977,"[8207453, 111439, 706877]"
8229818,"[8207453, 111439, 8219372]"
8141754,"[8207453, 111439, 706877]"
8084922,"[8207453, 111439, 706877]"
8218045,"[8207453, 111439, 706877]"
8144830,"[8207453, 111439, 8219372]"
506307,"[8207453, 111439, 706877]"
564677,"[8207453, 111439, 706877]"
552902,"[8207453, 111439, 706877]"
8179143,"[8207453, 111439, 706877]"
8099783,"[8219372, 627085, 540449]"
8098250,"[8219372, 627085, 540449]"
145355,"[8207453, 111439, 706877]"
534990,"[8207453, 111439, 706877]"
8177615,"[8207453, 111439, 706877]"
8190417,"[8207453, 111439, 706877]"
707032,"[8207453, 111439, 706877]"
673755,"[8207453, 111439, 706877]"
8196061,"[8207453, 111439, 706877]"
665566,"[8207453, 111439, 706877]"
602591,"[8207453, 111439, 8219372]"
8175069,"[8219372, 8207453, 627085]"
514022,"[8207453, 111439, 706877]"
322022,"[8207453, 111439, 706877]"
676329,"[8207453, 111439, 706877]"
560622,"[8207453, 111439, 706877]"
632814,"[8207453, 111439, 706877]"
573939,"[8207453, 111439, 706877]"
524277,"[8207453, 111439, 706877]"
617465,"[8207453, 111439, 8219372]"
610811,"[8207453, 8219372, 627085]"
8206847,"[8219372, 627085, 540449]"
